time,x_bias=-4.471635,y_bias=-9.585345000000002,z_bias=-0.47704125000000003
1616000036.7161958,-4.484082611540366,-9.5466088042544,-0.5134605361240729
1616000037.3689294,-4.484155613787285,-9.553162608374869,-0.5139139830117961
1616000037.5390005,-4.483037792072919,-9.55408204746821,-0.5125744697498614
1616000037.7085686,-4.4850483560569545,-9.555872593198094,-0.5116969863570826
1616000037.9272106,-4.484982432333707,-9.560599798807518,-0.5090784154152909
1616000038.0371416,-4.486523906930267,-9.560854987811247,-0.5085246299485267
1616000038.4792356,-4.489448342605885,-9.566392351416635,-0.5034717382697459
1616000038.9015899,-4.489819286661277,-9.562141085411417,-0.5024788892831901
1616000039.160211,-4.491308027047741,-9.558813585451368,-0.5014683837914925
1616000039.3269699,-4.493361794438032,-9.555735694643376,-0.5026382513237564
1616000039.596637,-4.492543324298613,-9.555453715976505,-0.5022451926324776
1616000039.6547298,-4.495480391055627,-9.55632417881674,-0.5017727407061529
1616000039.7665741,-4.495206011710883,-9.554451663131703,-0.4996213222844394
1616000039.9838197,-4.498542506707059,-9.556204885535028,-0.49785851564126926
1616000040.0442653,-4.496344581639988,-9.555142836679677,-0.49847993048485656
1616000040.2622163,-4.497318635823588,-9.55347890831288,-0.499095131180008
1616000040.4843674,-4.493151119970698,-9.554476053037453,-0.5014350130695259
1616000040.589075,-4.4921446087709915,-9.554131292507078,-0.5011456629388306
1616000040.9086323,-4.4885076680342655,-9.547451971822458,-0.5031794452497421
1616000041.1780064,-4.49259581841812,-9.543342432511784,-0.5049844106584158
1616000041.4965606,-4.490720030010328,-9.54002628157165,-0.5039306873462296
1616000042.0770278,-4.491724959437669,-9.532192975309709,-0.5037337908839377
1616000042.464831,-4.488690530191609,-9.529835534446148,-0.5043886959174604
1616000042.9923081,-4.491768300661396,-9.521900241655183,-0.5086042889637052
1616000043.2630405,-4.496524293802378,-9.52416700301979,-0.5092396996581922
1616000043.6367223,-4.489612253119062,-9.522524446600473,-0.5101406261287551
1616000043.7409432,-4.486297439589173,-9.51836394426199,-0.5103316443921049
1616000044.058799,-4.48661624083762,-9.520272618445428,-0.5119109919395421
1616000044.2163618,-4.487619452644951,-9.519421943338365,-0.5119080881999453
1616000044.3234677,-4.4876307581185015,-9.51776522390498,-0.5116890073179459
1616000044.7504346,-4.483580219606604,-9.522422655976747,-0.5114160915539366
1616000044.9151907,-4.481597973236433,-9.52369744512281,-0.5101919113320132
1616000045.2329767,-4.48266261856267,-9.522250652179236,-0.5092049328778272
1616000045.4466302,-4.488847935807778,-9.516299869073116,-0.511318485477311
1616000045.9713135,-4.49025628279633,-9.529503837262547,-0.5080163325694811
1616000046.1889958,-4.490569307768683,-9.535486960901023,-0.5065351825513484
1616000046.6283288,-4.494684923686353,-9.538361875088961,-0.5093657864935337
1616000047.2585325,-4.502063346166311,-9.546925468298578,-0.5122441046336067
1616000047.9470541,-4.505753716911755,-9.550369637917857,-0.5102759284857946
1616000048.8597565,-4.493598735884957,-9.554884643570674,-0.5054221290490849
1616000048.9199088,-4.494103371040847,-9.557733314163617,-0.5068538536810082
1616000049.085052,-4.494281271817562,-9.559195719499645,-0.5060172423728285
1616000049.2466972,-4.495735886263309,-9.563885649934784,-0.5032944005071133
1616000049.5160317,-4.497592985941265,-9.5678853562775,-0.5047330784766503
1616000049.8370366,-4.497480208286665,-9.575580709202596,-0.5061761557246872
1616000050.2587066,-4.497864906646172,-9.576603846755305,-0.5093349019119354
1616000050.4320207,-4.500098531053875,-9.572845283402826,-0.508700969740249
1616000050.5502398,-4.493781771727091,-9.570437441087485,-0.5057492605993329
1616000050.6011152,-4.490931514469723,-9.568495736009844,-0.5078701003134062
1616000050.7114809,-4.485911526308458,-9.571221291654615,-0.5071835117139978
1616000050.8216553,-4.4817622580655705,-9.578547268071182,-0.5053798242325803
1616000051.0884929,-4.484339057537088,-9.57161669092402,-0.5060136713823948
1616000051.2009633,-4.48646254693918,-9.575270886086887,-0.5059624243286663
1616000051.2597988,-4.490627236582539,-9.573257375499221,-0.5043509031136806
1616000051.318704,-4.523986733278802,-9.57377733693952,-0.5038319519403012
1616000052.2265787,-4.246085509188041,-9.568836262672523,-0.5114030536736066
1616000058.604826,-4.317112154096161,-9.641935400045798,-0.44241402313687056
1616000059.0809312,-4.405513496198652,-9.966687579107578,-0.20768175851515758
1616000059.4512267,-4.26326581220883,-9.949651769194102,-0.20068405440414946
1616000059.5623238,-4.383147117617565,-9.906252627404273,-0.3250475499900614
1616000059.6197033,-4.440917088827205,-9.851347664367738,-0.3607111989578066
